Datum,Betroffene Seiten
2025-07-19,30
2025-07-20,39
2025-07-21,39
2025-07-22,39
2025-07-23,59
2025-07-24,59
2025-07-25,59
2025-07-26,59
2025-07-27,59
2025-07-28,59
2025-07-29,59
2025-07-30,59
2025-07-31,59
2025-08-01,59
2025-08-02,59
2025-08-03,59
2025-08-04,59
2025-08-05,59
2025-08-06,59
2025-08-07,59
2025-08-08,59
2025-08-09,59
2025-08-10,59
2025-08-11,59
2025-08-12,59
2025-08-13,59
2025-08-14,59
2025-08-15,59
2025-08-16,59
2025-08-17,59
2025-08-18,59
2025-08-19,59
2025-08-20,59
2025-08-21,59
2025-08-22,59
2025-08-23,59
2025-08-24,59
2025-08-25,59
2025-08-26,59
2025-08-27,58
2025-08-28,58
2025-08-29,58
2025-08-30,58
2025-08-31,53
2025-09-01,53
2025-09-02,53
2025-09-03,53
2025-09-04,53
2025-09-05,53
2025-09-06,53
2025-09-07,53
2025-09-08,53
2025-09-09,53
2025-09-10,53
2025-09-11,53
2025-09-12,53
2025-09-13,53
2025-09-14,53
2025-09-15,53
2025-09-16,53
2025-09-17,53
2025-09-18,53
2025-09-19,53
2025-09-20,53
2025-09-21,53
2025-09-22,53
2025-09-23,53
2025-09-24,53
2025-09-25,53
2025-09-26,53
2025-09-27,53
2025-09-28,53
2025-09-29,53
2025-09-30,53
2025-10-01,53
2025-10-02,53
2025-10-03,53
2025-10-04,53
2025-10-05,53
2025-10-06,53
2025-10-07,53
2025-10-08,53
2025-10-09,53
2025-10-10,53
2025-10-11,53